Number,Name,Pfam ID,Pfam Clan,Clan ID
1,Rib,PF08428,E-set,CL0159
2,Big_1,PF02369,E-set,CL0159
3,Big_2,PF02368,E-set,CL0159
4,Big_3,PF07523,E-set,CL0159
5,Big_3_5,PF16640,E-set,CL0159
6,Big_6,PF17936,E-set,CL0159
7,Big_9,PF17963,E-set,CL0159
8,DUF5011,PF16403,E-set,CL0159
9,DUF11,PF01345,E-set,CL0159
10,PKD,PF00801,E-set,CL0159
11,He_PIG,PF05345,E-set,CL0159
12,Cadherin_4,PF17803,E-set,CL0159
13,Cadherin_5,PF17892,E-set,CL0159
14,CARDB,PF07705,E-set,CL0159
15,Calx-beta,PF03160,E-set,CL0159
16,TIG,PF01833,E-set,CL0159
17,Cadherin,PF00028,E-set,CL0159
18,fn3,PF00041,E-set,CL0159
19,Big_13,PF19077,E-set,CL0159
20,Big_12,PF19078,E-set,CL0159
21,Big_11,PF18200,E-set,CL0159
22,Big_5,PF13205,E-set,CL0159
23,Big_3_2,PF12245,E-set,CL0159
24,HYR,PF02494,E-set,CL0159
25,InlK_D3,PF18981,E-set,CL0159
26,PKD_4,PF18911,E-set,CL0159
27,Cadherin_3,PF16184,E-set,CL0159
28,PKD_5,PF19406,E-set,CL0159
29,PKD_6,PF19408,E-set,CL0159
30,SHIRT,PF18655,Ubiquitin,CL0072
31,Flg_new,PF09479,Ubiquitin,CL0072
32,MucBP,PF06458,Ubiquitin,CL0072
33,SSSPR-51,PF18877,Ubiquitin,CL0072
34,MucBP_2,PF17965,Ubiquitin,CL0072
35,Flg_new_2,PF18998,Ubiquitin,CL0072
39,MBG,PF17883,MBG,CL0682
40,MBG_2,PF18676,MBG,CL0682
41,MBG_3,PF18887,MBG,CL0682
42,FctA,PF12892,Transthyretin,CL0287
43,SpaA,PF17802,Transthyretin,CL0287
44,Cna_B,PF05738,Transthyretin,CL0287
45,SdrD_B,PF17210,Transthyretin,CL0287
46,CarboxypepD_reg,PF13620,Transthyretin,CL0287
47,SpaA_2,PF19403,Transthyretin,CL0287
48,DUF5979,PF19407,Transthyretin,CL0287
49,G5,PF07501,G5,CL0593
52,Ig_7,PF19081,Ig,CL0011
53,I-set,PF07679,Ig,CL0011
57,AgI_II_C2,PF17998,No clan,No clan
59,Fn_bind,PF02986,No clan,No clan
60,CshA_repeat,PF19076,No clan,No clan
61,Antigen_C,PF16364,No clan,No clan
62,TQ,PF18202,No clan,No clan
67,DUF5801,PF19116,No clan,No clan
70,DUF5776,PF19087,No clan,No clan
71,QPE,PF18874,No clan,No clan
72,CFSR,PF19079,No clan,No clan
73,DUF5977,PF19404,No clan,No clan
74,DUF5978,PF19405,No clan,No clan
82,aRib,PF18938,E-set,CL0159
83,RibLong,PF18957,E-set,CL0159
84,SasG-E,PF17041,G5,CL0593
86,YDG,PF18657,MBG,CL0682
87,Lipoprotein_17,PF04200,No clan,No clan
88,IgG_binding_B,PF01378,Ubiquitin,CL0072
89,aBig_2,PF20578,No clan,No clan
90,LapA,PF20579,No clan,No clan
91,Big_15,PF20622,E-set,CL0159
36,DUF1542,PF07564,B_GA,CL0598
37,GA,PF01468,B_GA,CL0598
38,FIVAR,PF07554,B_GA,CL0598
54,TSP3_bac,PF18884,TSP3,CL0689
63,YadA_stalk,PF05662,No clan,No clan
64,Endotoxin_C2,PF18449,No clan,No clan
66,Strep_SA_rep,PF06696,No clan,No clan
68,DUF1079,PF06435,No clan,No clan
69,Octapeptide,PF03373,No clan,No clan
85,GA-like,PF17573,B_GA,CL0598
65,Trp_ring,PF18669,No clan,No clan
